Kod,Unvan,City,BagimsizDenetim,Url,centerAddress,electronicEmailAddress,internet,companyTime,bagimsizDenetimKurulusu,dahilOlduguEndeksler,Sektor,islemGorduguPazarlar
BINHO,1000 YATIRIMLAR HOLDİNG A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5900-1000-yatirimlar-holding-a-s,Saray Mahallesi Sanayi Cad. A Blok No:56 İç Kapı No:5 Ümraniye/İstanbul,bilgi@1000.com.tr,www.1000.com.tr,Süresiz,EREN BAĞIMSIZ DENETİM A.Ş.,BIST YILDIZ / BIST TÜM / BIST 500 / BIST HALKA ARZ / BIST İSTANBUL / BIST KATILIM 50 / BIST 100-30 / BIST KATILIM 100 / BIST HOLDİNG VE YATIRIM / BIST KATILIM TUM / BIST MALİ / BIST 100,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,YILDIZ PAZAR
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,İZMİR,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1564-a-v-o-d-kurutulmus-gida-ve-tarim-urunleri-sanayi-ticaret-a-s,Yıldırım Mahallesi 35.Sokak No:62/1 Menemen/İZMİR,avod@avod.com.tr,www.avod.com.tr,Süresiz,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.,"BIST TÜM / BIST İZMİR / BIST KATILIM TUM / BIST TÜM-100 / BIST SINAİ / BIST 500 / BIST ANA / BIST GIDA, İÇECEK","İMALAT / GIDA, İÇECEK VE TÜTÜN",ANA PAZAR
"A1CAP, ACP",A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1303-a1-capital-yatirim-menkul-degerler-a-s,Esentepe Mahallesi Büyükdere Caddesi Levent Plaza Blok No: 173 İç Kapı No: 29 Şişli/İstanbul,info@a1capital.com.tr,www.a1capital.com.tr,SÜRESİZ,PKF ADAY BAĞIMSIZ DENETİM A.Ş.,BIST TÜM / BIST TÜM-100 / BIST 500 / BIST MALİ / BIST ARACI KURUM / BIST YILDIZ / BIST HALKA ARZ,MALİ KURULUŞLAR / ARACI KURUMLAR,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA) / YILDIZ PAZAR
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,DENİZLİ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1626-aciselsan-acipayam-seluloz-sanayi-ve-ticaret-a-s,Aşağı Mah. Acıselsan Caddesi No:25 Acıpayam Denizli,aciselsan@aciselsan.com.tr,www.aciselsan.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,"BIST TEMETTÜ / BIST TÜM / BIST SINAİ / BIST KİMYA, PETROL, PLASTİK / BIST KOBI SANAYİ / BIST KATILIM TUM / BIST 500 / BIST TÜM-100 / BIST DENİZLİ / BIST ANA / BIST KATILIM TEMETTU",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,ANA PAZAR
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KOCAELİ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/832-adel-kalemcilik-ticaret-ve-sanayi-a-s,Fatih Sultan Mehmet Mah. Balkan Cad. No:58 Buyaka E Blok 34771 Tepeüstü / Ümraniye,info@adel.com.tr,www.adel.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST TÜM-100 / BIST YILDIZ / BIST TÜM / BIST SINAİ / BIST 500 / BIST İSTANBUL,İMALAT / DİĞER İMALAT SANAYİİ,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA) / YILDIZ PAZAR
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,KONYA,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1560-adese-gayrimenkul-yatirim-a-s,Musalla Bağları Mah.Kule Cad.Selçuklu Kulesi Sit.No:2/55 SELÇUKLU/KONYA,info@adese.com.tr,www.adese.com.tr,Süresiz,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,BIST TÜM-100 / BIST KONYA / BIST KATILIM 100 / BIST HİZMETLER / BIST KATILIM TUM / BIST YILDIZ / BIST TÜM / BIST 500,GAYRİMENKUL FAALİYETLERİ / GAYRİMENKUL FAALİYETLERİ,YILDIZ PAZAR
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5867-adra-gayrimenkul-yatirim-ortakligi-a-s,"Çaybaşı Mahallesi Aydın Caddesi No:51/A, 35880, Torbalı / İZMİR",info@adragyo.com.tr,www.adragyo.com.tr,SÜRESİZ,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST GAYRİMENKUL YAT. ORT. / BIST YILDIZ / BIST HALKA ARZ / BIST GERİ ALIM / BIST TÜM / BIST MALİ / BIST TÜM-100 / BIST 500,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,YILDIZ PAZAR
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/833-afyon-cimento-sanayi-t-a-s,Küçükbakkalköy Mahallesi Kayışdağı Caddesi No:1 Allianz Tower Kat: 23-24 34750 Ataşehir / İSTANBUL,afyoncimento@afyoncimento.com,www.afyoncimento.com,SÜRESİZ,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,"BIST TÜM-100 / BIST TAŞ, TOPRAK / BIST 500 / BIST YILDIZ / BIST KATILIM TEMETTU / BIST TEMETTÜ / BIST TÜM / BIST KATILIM 100 / BIST SINAİ / BIST KATILIM TUM",İMALAT / TAŞ VE TOPRAĞA DAYALI,YILDIZ PAZAR
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1131-ag-anadolu-grubu-holding-a-s,"FATİH SULTAN MEHMET MAHALLESİ, BALKAN CADDESİ NO:58 BUYAKA (E) BLOK 
TEPEÜSTÜ ÜMRANİYE/İSTANBUL",investor.relations@anadolugrubu.com.tr,www.anadolugrubu.com.tr,SÜRESİZ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST HOLDİNG VE YATIRIM / BIST 100-30 / BIST İSTANBUL / BIST TÜM / BIST YILDIZ / BIST TEMETTÜ / BIST SÜRDÜRÜLEBİLİRLİK / BIST KURUMSAL YÖNETİM / BIST 500 / BIST MALİ / BIST 100,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA) / YILDIZ PAZAR
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2370-agesa-hayat-ve-emeklilik-a-s,İçerenköy Mah. Umut Sok. Quick Tower Sitesi No: 10-12/9 Ataşehir/İstanbul,agesa@agesa.hs03.kep.tr,www.agesa.com.tr,Şirketin süresi sınırsızdır,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST SİGORTA / BIST TÜM / BIST GERİ ALIM / BIST MALİ / BIST 500 / BIST YILDIZ / BIST TÜM-100 / BIST SÜRDÜRÜLEBİLİRLİK,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ,YILDIZ PAZAR
