top_250_film,top_250_film_rating,Year,Time,description,director,writers,stars
1. Esaretin Bedeli,9.3,1994,2h 22m,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,"Stephen King,Frank Darabont","Tim Robbins,Morgan Freeman,Bob Gunton"
2. Baba,9.2,1972,2h 55m,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"Mario Puzo,Francis Ford Coppola","Marlon Brando,Al Pacino,James Caan"
3. Kara Şövalye,9.0,2008,2h 32m,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,David S","Christian Bale,Heath Ledger,Aaron Eckhart"
4. Baba 2,9.0,1974,3h 22m,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Francis Ford Coppola,Mario Puzo","Al Pacino,Robert De,Robert Duvall"
5. 12 Öfkeli Adam,9.0,1957,1h 36m,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,Reginald Rose,"Henry Fonda,Lee J,Martin Balsam"
6. Schindler'in Listesi,9.0,1993,3h 15m,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Thomas Keneally,Steven Zaillian","Liam Neeson,Ralph Fiennes,Ben Kingsley"
7. Yüzüklerin Efendisi: Kralın Dönüşü,9.0,2003,3h 21m,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Fran Walsh,Philippa Boyens","Elijah Wood,Viggo Mortensen,Ian Mc"
8. Ucuz Roman,8.9,1994,2h 34m,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"Quentin Tarantino,Roger Avary","John Travolta,Uma Thurman,Samuel L"
9. Yüzüklerin Efendisi: Yüzük Kardeşliği,8.9,2001,2h 58m,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Fran Walsh,Philippa Boyens","Elijah Wood,Ian Mc,Orlando Bloom"
"10. İyi, Kötü ve Çirkin",8.8,1966,2h 41m,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"Luciano Vincenzoni,Sergio Leone,Agenore Incrocci","Clint Eastwood,Eli Wallach,Lee Van"
11. Forrest Gump,8.8,1994,2h 22m,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,"Winston Groom,Eric Roth","Tom Hanks,Robin Wright,Gary Sinise"
12. Yüzüklerin Efendisi: İki Kule,8.8,2002,2h 59m,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Fran Walsh,Philippa Boyens","Elijah Wood,Ian Mc,Viggo Mortensen"
13. Dövüş Kulübü,8.8,1999,2h 19m,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"Chuck Palahniuk,Jim Uhls","Brad Pitt,Edward Norton,Meat Loaf"
14. Başlangıç,8.8,2010,2h 28m,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,Christopher Nolan,"Leonardo Di,Joseph Gordon,Elliot Page"
15. Yıldız Savaşları: İmparator,8.7,1980,2h 4m,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner,"Leigh Brackett,Lawrence Kasdan,George Lucas","Mark Hamill,Harrison Ford,Carrie Fisher"
16. Matrix,8.7,1999,2h 16m,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,"Lilly Wachowski,Lana Wachowski","Keanu Reeves,Laurence Fishburne,Anne Moss"
17. Sıkı Dostlar,8.7,1990,2h 25m,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,"Nicholas Pileggi,Martin Scorsese","Robert De,Ray Liotta,Joe Pesci"
18. Guguk Kuşu,8.7,1975,2h 13m,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,"Lawrence Hauben,Bo Goldman,Ken Kesey","Jack Nicholson,Louise Fletcher,Michael Berryman"
19. Yıldızlararası,8.7,2014,2h 49m,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,"Jonathan Nolan,Christopher Nolan","Matthew Mc,Anne Hathaway,Jessica Chastain"
20. Yedi,8.6,1995,2h 7m,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,Andrew Kevin Walker,"Morgan Freeman,Brad Pitt,Kevin Spacey"
21. Şahane Hayat,8.6,1946,2h 10m,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"Frances Goodrich,Albert Hackett,Frank Capra","James Stewart,Donna Reed,Lionel Barrymore"
22. Yedi Samuray: Kanlı Pirinç,8.6,1954,3h 27m,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",Akira Kurosawa,"Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni","Takashi Shimura,Keiko Tsushima"
23. Kuzuların Sessizliği,8.6,1991,1h 58m,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"Thomas Harris,Ted Tally","Jodie Foster,Anthony Hopkins,Scott Glenn"
24. Er Ryan'ı Kurtarmak,8.6,1998,2h 49m,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,Robert Rodat,"Tom Hanks,Matt Damon,Tom Sizemore"
25. Tanrı Kent,8.6,2002,2h 10m,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,Paulo Lins,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele"
